नागरिकता जारी जिल्ला,count
कपलवतु,6
रौतहट,4
तनहुँ,3
आदवासी जनजात धादङ,2
आदवासी जनजात सतर,2
आदवासी जनजात तनहुँ,2
ललतपरु,2
खस आय काेपलाचोक,2
खस आय अघाखाँची,2
बारा,2
बदया,2
दलत कपलवतु,2
सतर,2
लम कपलवतु,2
आदवासी जनजात कपलवतु,1
आदवासी जनजात रौतहट,1
मकवानपरु,1
धादङ,1
उदयपरु,1
तालेजुङ,1
खस आय झापा,1
खस आय बाँके,1
खस आय कपलवतु,1
खस आय लजुङ,1
खस आय कलकोट,1
सलाह,1
रामेछाप,1
जु ला,1
दलत बाँके,1
दलत सतर,1
काठमाड,1
था बारा,1
सखु त,1
मधेशी कवलवतु,1
मधेशी रौतहत,1
मधेशी सलाह,1
मधेशी सतर,1
मधेशी धनषु ा,1
मिु लम रौतहट,1
