party,candidates
नेपाल कम्युनिष्ट पार्टी (एमाले),110
नेपाल कम्युनिष्ट पार्टी (संयुक्त),110
राष्ट्रिय जात पार्टी,110
श्रम संस्कृति पार्टी,110
नेपाली कम्युनिष्ट पार्टी,110
नेपाल सद्भावना पार्टी,110
राष्ट्रिय स्वतन्त्र पार्टी,109
नेपाल मजदुर किसान पार्टी,109
जनमत पार्टी,109
नेपाल कम्युनिष्ट पार्टी (माओवादी),109
नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),109
नेपाल जनता पार्टी,107
मितेरी पार्टी नेपाल,104
गतिशील लोकतान्त्रिक पार्टी,103
"जनता समाजवादी पार्टी, नेपाल",101
नेपाल मातृभूमि पार्टी,75
संयुक्त नागरिक पार्टी,61
राष्ट्रिय परिवर्तन पार्टी,49
"राष्ट्रिय उजाशील पार्टी, नेपाल",46
जातान्त्रिक पार्टी नेपाल,41
नेपालका लागि नेपाली पार्टी,40
नेपाल जनता संरक्षण पार्टी,31
जनादेश पार्टी नेपाल,28
सार्वभौम नागरिक पार्टी,28
समावेशी समाजवादी पार्टी नेपाल,27
"जनता लोकतान्त्रिक पार्टी, नेपाल",25
राष्ट्रिय गौरव पार्टी,25
"नागरिक उन्मुक्ति पार्टी, नेपाल",24
भूमि पार्टी,22
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),20
बहुजन शक्ति पार्टी,20
पिपुल्स फर्स्ट पार्टी,18
उन्नत लोकतन्त्र पार्टी,12
नेपाल लोकतान्त्रिक पार्टी,12
राष्ट्रिय जनमुक्ति पार्टी,12
राष्ट्रिय जनता पार्टी नेपाल,12
जनप्रिय लोकतान्त्रिक पार्टी,12
नेपाली जनश्रमदान संस्कृति पार्टी,11
नेपाल जनमुक्ति पार्टी,11
जन अधिकार पार्टी,11
स्वाभिमान पार्टी,11
